Pass,SpreadModel,TimeFrame,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
30,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,2.5,7,0.00,0.01,1,3,498.10,1.613443,1.256540,515.55,45.95,258.65,262.42,2.5552,1128.1164,46.8951,1.2067,0.0213,88,5679,30.1889,86.901780
60,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,2.0,7,0.02,0.01,1,3,861.02,0.675503,1.167537,878.48,744.43,1125.59,1160.86,11.1445,1424.6706,51.8029,1.2067,0.0213,88,5679,30.2028,15.199137
90,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,1.5,7,0.04,0.01,1,3,1155.88,0.354748,1.121751,1715.11,1992.11,2685.57,2692.04,25.1594,1424.6989,88.7196,1.2067,0.0213,60,5679,992.4883,0.688654
0,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,1.0,7,0.00,0.01,1,3,-208.06,-0.143995,0.942613,246.58,1465.39,1467.97,1475.16,14.7372,3026.6564,72.9161,1.2067,0.0213,72,5679,1542.5550,-31.497502
31,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,2.5,7,0.00,0.01,1,3,120.32,0.413428,1.116178,265.29,148.34,246.46,246.60,2.4023,1541.8217,152.2717,2.9392,0.0254,30,3222,1541.8217,0.197795
61,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,2.0,7,0.02,0.01,1,3,-873.80,-0.459926,0.708487,377.20,2508.87,2883.58,2886.07,27.8116,1424.4642,98.2280,2.9392,0.0254,47,3222,992.3572,-65.385445
91,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,1.5,7,0.04,0.01,1,3,537.56,0.429209,1.124808,1262.43,71.69,1328.34,1334.12,11.8458,1532.6219,82.7259,2.9392,0.0254,58,3222,1532.6219,0.422127
1,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,1.0,7,0.00,0.01,1,3,659.90,1.240578,1.232317,742.25,264.86,347.70,350.44,3.4747,1424.5806,66.3111,2.9392,0.0254,76,3222,195.9225,48.622877
32,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,3.0,7,0.00,0.01,1,3,139.31,0.292742,1.081081,296.64,494.43,497.01,499.12,4.9889,3079.5153,61.2628,1.2067,0.0213,86,5679,1542.5550,0.042186
62,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,2.0,7,0.02,0.01,1,3,1120.34,1.786288,1.340125,1137.79,107.28,514.73,519.92,4.8431,1128.1164,41.9374,1.2067,0.0213,95,5679,30.1889,217.318865
92,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,1.5,7,0.04,0.01,1,3,1892.60,0.599109,1.184078,1910.06,2315.90,2646.69,2666.89,25.7646,1424.6686,50.6329,1.2067,0.0213,89,5679,30.2028,16.950245
33,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,3.0,7,0.00,0.01,1,3,440.32,1.461465,1.271660,481.49,92.80,241.25,252.18,2.4407,1424.5825,74.2950,2.9392,0.0254,69,3222,195.9225,51.007387
63,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,2.0,7,0.02,0.01,1,3,209.17,0.245306,1.129705,354.14,744.55,864.12,979.69,9.5718,1541.8217,125.3040,2.9392,0.0254,35,3222,1541.8217,0.120029
2,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,1.0,7,0.00,0.01,1,3,782.66,0.787942,1.209383,817.58,841.55,905.05,911.52,9.0519,1424.6992,39.6673,1.2067,0.0213,122,5679,30.3556,23.220736
