Pass,SpreadModel,TimeFrame,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
9,OLS_LOG_RESIDUAL,M15,60,60,3.5,0,2.0,7,0.02,0.01,1,3,989.57,1.030594,1.276983,1002.74,582.67,1033.03,1035.39,9.9055,1128.0633,46.5374,1.2067,0.0213,79,5679,0.0000,59.629959
27,OLS_LOG_RESIDUAL,M15,60,60,4.5,0,1.0,7,0.04,0.01,1,3,3840.69,1.246078,1.422560,3840.95,1938.95,3108.93,3136.90,28.0132,920.2719,43.2594,1.2067,0.0213,68,5679,0.0000,228.963234
18,OLS_LOG_RESIDUAL,M15,60,60,4.0,0,1.5,7,0.03,0.01,1,3,1518.13,1.097223,1.366882,1603.18,568.54,1353.57,1370.26,12.6856,1127.9008,89.8829,1.2067,0.0213,47,5679,991.0203,18.258043
0,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,1.0,7,0.02,0.01,1,3,2809.73,1.652869,1.361358,2827.18,383.72,1320.37,1320.81,11.0801,1128.0567,40.9727,1.2067,0.0213,97,5679,30.1889,312.430450
10,OLS_LOG_RESIDUAL,M15,60,60,4.0,0,2.0,7,0.02,0.01,1,3,770.92,1.206881,1.302712,855.97,84.70,506.32,519.93,4.8776,1127.9008,91.8911,1.2067,0.0213,46,5679,991.0203,15.284435
19,OLS_LOG_RESIDUAL,M15,60,60,4.5,0,1.5,7,0.03,0.01,1,3,1606.47,1.157589,1.322417,1606.58,754.63,1321.66,1338.35,12.6454,984.9961,62.7152,1.2067,0.0213,52,5679,0.0000,122.210422
28,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,1.5,7,0.04,0.01,1,3,2191.68,1.098051,1.291760,2333.68,304.22,1885.64,1931.79,15.9837,1541.6583,89.0720,1.2067,0.0213,55,5679,1541.6583,7.969374
1,OLS_LOG_RESIDUAL,M15,60,60,3.5,0,1.0,7,0.02,0.01,1,3,2568.94,0.808873,1.232791,2570.09,1928.02,2830.36,2849.85,26.0932,985.1803,41.7059,1.2067,0.0213,87,5679,0.0000,54.897489
11,OLS_LOG_RESIDUAL,M15,60,60,4.5,0,2.0,7,0.02,0.01,1,3,992.66,1.642654,1.350340,992.73,101.93,490.06,510.92,4.8592,984.3622,63.0834,1.2067,0.0213,52,5679,0.0000,211.460959
20,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,2.0,7,0.03,0.01,1,3,1402.56,1.784787,1.349024,1420.01,140.85,632.96,640.94,5.8469,1128.1164,41.9279,1.2067,0.0213,95,5679,30.1889,251.448672
