Pass,SpreadModel,TimeFrame,StrategyPreset,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
12,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,0.5,1.00,9,0.04,0.01,1,3,4902.37,1.399065,1.312159,4919.82,782.95,2822.06,2954.63,23.2661,1128.0564,25.5542,1.2067,0.0213,136,5679,30.1889,222.249690
0,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,0.0,1.00,7,0.04,0.01,1,3,4840.60,1.634593,1.385469,4858.05,691.37,2342.38,2342.97,17.4917,1128.0564,40.8621,1.2067,0.0213,97,5679,30.1889,382.340332
18,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,0.0,1.00,11,0.04,0.01,1,3,4840.60,1.634593,1.385469,4858.05,691.37,2342.38,2342.97,17.4917,1128.0564,40.8621,1.2067,0.0213,97,5679,30.1889,382.340332
6,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,1.0,1.00,7,0.04,0.01,1,3,1561.43,0.274378,1.124077,1578.88,4364.12,4883.51,4883.51,46.4239,1424.6650,49.7847,1.2067,0.0213,84,5679,30.1889,2.552245
13,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,0.5,2.00,9,0.03,0.01,1,3,1341.48,1.315843,1.377986,1342.76,301.61,1473.55,1487.75,13.2999,920.2719,40.0092,1.2067,0.0213,73,5679,0.0000,137.243578
1,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,0.0,2.00,7,0.03,0.01,1,3,1431.60,1.367459,1.434759,1431.66,234.03,1473.55,1487.75,13.2201,920.2719,43.7653,1.2067,0.0213,68,5679,0.0000,175.438623
19,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,0.0,2.00,11,0.03,0.01,1,3,1431.60,1.367459,1.434759,1431.66,234.03,1473.55,1487.75,13.2201,920.2719,43.7653,1.2067,0.0213,68,5679,0.0000,175.438623
7,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,1.0,2.00,7,0.03,0.01,1,3,1476.52,1.636151,1.340542,1476.52,147.42,1473.55,1487.75,13.1191,920.2719,25.0674,1.2067,0.0213,97,5679,0.0000,170.032315
14,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,0.5,2.00,9,0.04,0.01,1,3,1663.45,1.298877,1.391167,1665.08,405.66,1866.20,1884.42,16.4166,920.2719,39.4719,1.2067,0.0213,74,5679,0.0000,146.685160
8,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,1.0,2.00,7,0.04,0.01,1,3,1813.38,1.590152,1.342617,1813.38,227.33,1866.20,1884.42,16.1654,920.2719,24.8049,1.2067,0.0213,98,5679,0.0000,172.428464
2,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,0.0,2.00,7,0.04,0.01,1,3,1767.26,1.346282,1.447786,1767.33,325.33,1866.20,1884.42,16.3025,920.2719,43.1346,1.2067,0.0213,69,5679,0.0000,185.376092
20,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,0.0,2.00,11,0.04,0.01,1,3,1767.26,1.346282,1.447786,1767.33,325.33,1866.20,1884.42,16.3025,920.2719,43.1346,1.2067,0.0213,69,5679,0.0000,185.376092
3,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,0.5,1.00,7,0.04,0.01,1,3,4889.07,1.483171,1.315082,4906.52,782.95,2430.37,2562.94,20.1817,1128.0564,25.5695,1.2067,0.0213,136,5679,30.1889,267.646806
21,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,0.5,1.00,11,0.04,0.01,1,3,4902.37,1.399065,1.312159,4919.82,782.95,2822.06,2954.63,23.2661,1128.0564,25.5542,1.2067,0.0213,136,5679,30.1889,222.249690
9,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,0.0,1.00,9,0.04,0.01,1,3,4840.60,1.634593,1.385469,4858.05,691.37,2342.38,2342.97,17.4917,1128.0564,40.8621,1.2067,0.0213,97,5679,30.1889,382.340332
15,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,1.0,1.00,9,0.04,0.01,1,3,1561.43,0.274378,1.124077,1578.88,4364.12,4883.51,4883.51,46.4239,1424.6650,49.7847,1.2067,0.0213,84,5679,30.1889,2.552245
4,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,0.5,2.00,7,0.03,0.01,1,3,1341.48,1.315843,1.377986,1342.76,301.61,1473.55,1487.75,13.2999,920.2719,40.0092,1.2067,0.0213,73,5679,0.0000,137.243578
22,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,0.5,2.00,11,0.03,0.01,1,3,1341.48,1.315843,1.377986,1342.76,301.61,1473.55,1487.75,13.2999,920.2719,40.0092,1.2067,0.0213,73,5679,0.0000,137.243578
10,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,0.0,2.00,9,0.03,0.01,1,3,1431.60,1.367459,1.434759,1431.66,234.03,1473.55,1487.75,13.2201,920.2719,43.7653,1.2067,0.0213,68,5679,0.0000,175.438623
16,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,1.0,2.00,9,0.03,0.01,1,3,1476.52,1.636151,1.340542,1476.52,147.42,1473.55,1487.75,13.1191,920.2719,25.0674,1.2067,0.0213,97,5679,0.0000,170.032315
17,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,1.0,2.00,9,0.04,0.01,1,3,1813.38,1.590152,1.342617,1813.38,227.33,1866.20,1884.42,16.1654,920.2719,24.8049,1.2067,0.0213,98,5679,0.0000,172.428464
23,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,0.5,2.00,11,0.04,0.01,1,3,1663.45,1.298877,1.391167,1665.08,405.66,1866.20,1884.42,16.4166,920.2719,39.4719,1.2067,0.0213,74,5679,0.0000,146.685160
5,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,0.5,2.00,7,0.04,0.01,1,3,1663.45,1.298877,1.391167,1665.08,405.66,1866.20,1884.42,16.4166,920.2719,39.4719,1.2067,0.0213,74,5679,0.0000,146.685160
11,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,0.0,2.00,9,0.04,0.01,1,3,1767.26,1.346282,1.447786,1767.33,325.33,1866.20,1884.42,16.3025,920.2719,43.1346,1.2067,0.0213,69,5679,0.0000,185.376092
25,OLS_LOG_RESIDUAL,M15,B_BALANCED_4.5_2.0_0.03,60,60,4.50,1.0,2.00,11,0.03,0.01,1,3,1476.52,1.636151,1.340542,1476.52,147.42,1473.55,1487.75,13.1191,920.2719,25.0674,1.2067,0.0213,97,5679,0.0000,170.032315
26,OLS_LOG_RESIDUAL,M15,C_HIGH_QUALITY_4.5_2.0_0.04,60,60,4.50,1.0,2.00,11,0.04,0.01,1,3,1813.38,1.590152,1.342617,1813.38,227.33,1866.20,1884.42,16.1654,920.2719,24.8049,1.2067,0.0213,98,5679,0.0000,172.428464
24,OLS_LOG_RESIDUAL,M15,A_HIGH_RETURN_3.0_1.0_0.04,60,60,3.00,1.0,1.00,11,0.04,0.01,1,3,1561.43,0.274378,1.124077,1578.88,4364.12,4883.51,4883.51,46.4239,1424.6650,49.7847,1.2067,0.0213,84,5679,30.1889,2.552245
